id,tx_line_length,voltage,state,region,owner,lon,lat
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-92.74989794171672,47.392769665194635
119511,262295.9631857906,765.0,Indiana,EM,"DUKE ENERGY INDIANA, LLC",-85.44334702862949,38.75568569792306
142641,227570.49913650012,765.0,Indiana,EM,NOT AVAILABLE,-86.4917670875816,38.30292476869067
145385,228723.00395046137,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-83.3939304145734,39.99646344722508
149013,59016.4686467653,765.0,Illinois,EM,COMED,-88.34379729838145,41.38753578986255
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-94.84974540179981,48.5977782718759
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.99470457715677,46.94924404423461
144740,31789.987865396273,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.20355511321596,39.004623081684606
163166,156613.38034532114,765.0,Indiana,EM,NOT AVAILABLE,-86.36045134407763,41.52347886118388
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.90944915663367,45.648001543259106
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.69036694003815,48.03694164373432
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.91856382283248,45.95808103801658
144740,31789.987865396273,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.32994606236365,39.08599926067528
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-92.7495791296224,47.418398967790594
119511,262295.9631857906,765.0,Indiana,EM,"DUKE ENERGY INDIANA, LLC",-85.43801639968238,38.74361943509953
149013,59016.4686467653,765.0,Illinois,EM,COMED,-88.31336444268062,41.39857703483079
163166,156613.38034532114,765.0,Indiana,EM,NOT AVAILABLE,-86.02253276636999,41.33244047383525
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.90925700699438,45.665986146708526
149013,59016.4686467653,765.0,Illinois,EM,COMED,-88.14510783400836,41.41289593624195
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.01669767093176,47.535324094261
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.95370843203001,46.342788277186244
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.74304613171863,47.345479864750345
116142,199853.88991132448,765.0,Indiana,EM,NOT AVAILABLE,-87.39925758435005,38.80998656116256
105541,74288.42581668557,765.0,Illinois,EM,NOT AVAILABLE,-88.50866043123642,41.68210263023164
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-95.28152935677014,48.76000883583648
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-94.9867704626522,48.70200296788872
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-95.41679255185578,48.78777735477436
135738,53064.83341127983,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-83.35588353733905,40.30025163118143
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.84365708421393,47.20556043409717
135738,53064.83341127983,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-83.15174120935984,40.23048378132993
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.96619480696845,47.02168582410347
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.1760484717088,47.60011988182881
105541,74288.42581668557,765.0,Illinois,EM,NOT AVAILABLE,-88.37451941160374,41.46603759530645
105541,74288.42581668557,765.0,Illinois,EM,NOT AVAILABLE,-88.5065704108964,41.52618607608905
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.88356833397205,47.170438182068736
